Abs,Espesor,Ref,Cal
0.20,0.03,541.00,178.00
0.20,0.05,403.00,85.40
0.20,0.08,362.00,52.60
0.20,0.10,352.00,38.50
0.20,0.13,329.00,31.40
0.20,0.15,332.00,27.10
0.30,0.03,754.00,147.00
0.30,0.05,549.00,71.60
0.30,0.08,427.00,46.90
0.30,0.10,406.00,35.10
0.30,0.13,359.00,28.50
0.30,0.15,343.00,25.00
0.40,0.03,992.00,123.00
0.40,0.05,690.00,62.60
0.40,0.08,544.00,43.30
0.40,0.10,471.00,32.80
0.40,0.13,421.00,29.00
0.40,0.15,394.00,25.90
0.50,0.03,1260.00,105.00
0.50,0.05,804.00,55.50
0.50,0.08,635.00,37.40
0.50,0.10,526.00,29.20
0.50,0.13,465.00,24.90
0.50,0.15,425.00,22.10
0.60,0.03,1590.00,89.30
0.60,0.05,973.00,49.40
0.60,0.08,714.00,33.10
0.60,0.10,599.00,27.40
0.60,0.13,514.00,23.60
0.60,0.15,452.00,22.00
0.70,0.03,1940.00,78.20
0.70,0.05,1120.00,43.90
0.70,0.08,814.00,32.00
0.70,0.10,656.00,27.60
0.70,0.13,551.00,22.40
0.70,0.15,496.00,20.60
